"segment"	"thesis"	"first_page"	"last_page"	"pages"	"title"	"summary"	"theatre_logline"	"theatre_cast"	"theatre_setting"	"theatre_action"	"thesis_number"	"thesis_topic"	"duration_pages"
"1"	""	"1"	"6"	"6"	"Ausschreiben des Berner Rats zur Disputation 1528"	"Schultheiss, Kleiner und Grosser Rat der Stadt Bern laden Geistliche, Bischöfe und Eidgenossen zu einem Religionsgespräch nach Bern ein, um der Glaubensspaltung ein Ende zu setzen. Als alleinige Richtschnur und Entscheidungsgrundlage für die Verhandlungen wird ausschliesslich die Heilige Schrift des Alten und Neuen Testaments bestimmt. Allen Teilnehmenden wird freies Geleit und Redefreiheit zugesichert, während die Geistlichen des Berner Gebiets bei Verlust ihrer Pfründen zur Anwesenheit verpflichtet werden."	"Niclaus Christen (Die katholische Seite) verfahrenseinleitung: Ausschreiben des Berner Rats zur Disputation 1528."	"Sänger von Zoffingen"	"Berner Rathaus oder Grossratssaal — feierliche Eröffnung durch Rat und Prediger"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"—"	"Verfahrenseinleitung"	"6"
"2"	""	"7"	"11"	"5"	"Zehn Berner Schlussreden, Vorrede und Disputationsordnung"	"Die Berner Prädikanten Franz Kolb und Berchtold Haller stellen ihre zehn reformatorischen Schlussreden vor, die allein auf der Heiligen Schrift gründen. In einer Vorrede begründen Schultheiss, Rat und Burger von Bern die Einberufung der Disputation sowie die Veröffentlichung der Verhandlungsprotokolle im Druck. Zudem werden der Ablauf der Verhandlungen im Berner Barfüsserkloster sowie die Pflichten der eingesetzten Präsidenten und vereidigten Schreiber dargelegt."	"Niclaus Christen, Berchtold Haller, Franz Kolb u.a. (Reformierte und katholische Theologen) verfahrenseinleitung: Zehn Berner Schlussreden, Vorrede und Disputationsordnung."	"Sänger von Zoffingen; Berner Prädikant; Berner Schultheiss; Berner Präsident"	"Barfüsserkloster Bern — Eröffnungssitzung, Disputationsordnung, erste Begrüssungen"	"Ein Verhandlungsabschnitt von 5 Seiten."	"—"	"Verfahrenseinleitung"	"5"
"3"	""	"12"	"19"	"8"	"Ablauf, Teilnehmer und Eröffnung der Disputation"	"Nach Darlegung der Disputationsordnung und der Registrierung der anwesenden sowie abwesenden Gesandtschaften wird auf gegnerische Schriften von Johannes Eck und Johannes Cochläus hingewiesen. Zur Eröffnung der ersten Session am 7. Januar 1528 ermahnt Joachim von Watt im Namen der Präsidenten alle Beteiligten zu einer geordneten und friedlichen Verhandlung. Anschliessend begrüsst der Berner Prädikant Franz Kolb die Versammlung und erklärt die Bereitschaft der reformierten Prediger, ihren Glauben anhand der Heiligen Schrift zu begründen."	"Johannes Eck, Niclaus Christen, Berchtold Haller u.a. (Reformierte und katholische Theologen) verfahrenseinleitung: Ablauf, Teilnehmer und Eröffnung der Disputation."	"Katholischer Theologe; Sänger von Zoffingen; Berner Prädikant; Berner Schultheiss"	"Barfüsserkloster Bern — Eröffnungssitzung, Disputationsordnung, erste Begrüssungen"	"Eine Ermahnung zur Ordnung unterbricht die Debatte."	"—"	"Verfahrenseinleitung"	"8"
"4"	"1"	"20"	"29"	"10"	"Disputation über das einzige Haupt der Kirche"	"Berchtold Haller begründet die erste Schlussrede und legt dar, dass die christliche Kirche allein auf Gottes Wort gegründet sei und Christus ihr einziges Haupt bleibe. Nach einer Wortmeldung von Johannes Ökolampad wendet der Dominikaner Alexius Grat ein, dass Christus mit Petrus und dessen Nachfolgern ein sichtbares irdisches Kirchenhaupt eingesetzt habe. Haller und Grat debattieren daraufhin darüber, ob die Schrift ein solches stellvertretendes Haupt neben Christus überhaupt zulässt."	"Alexius Grat, Niclaus Christen, Berchtold Haller (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Disputation über das einzige Haupt der Kirche."	"Dominikaner; Sänger von Zoffingen; Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 10 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"10"
"5"	"1"	"30"	"36"	"7"	"Debatte über Christus oder Petrus als Haupt der Kirche"	"Berchtold Haller und Martin Bucer betonen gegen den Beichtvater, dass allein Christus das regierende Haupt der Kirche sei und Petrus lediglich ein dienender Prediger war. Der Beichtvater versucht anhand biblischer Stellen zur Schlüssel- und Hirtengewalt zu beweisen, dass Petrus und dessen Nachfolger als Statthalter Christi die Kirche leiten. Nachdem ihm die Ratspräsidenten das Zitieren von Kirchenvätern untersagt haben, bekräftigt Bucer die Forderung nach einem rein schriftbasierten Beweis für ein solches kirchliches Haupt."	"Niclaus Christen, Berchtold Haller, Martin Bucer (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über Christus oder Petrus als Haupt der Kirche."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 7 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"7"
"6"	"1"	"37"	"40"	"4"	"Disput über Petrus als Haupt der Kirche"	"Martin Bucer fordert Schriftbelege dafür, dass Petrus ein Haupt der Kirche genannt werden darf, und betont, dass allein Christus als geistlicher Herr die Herzen erneuern kann. Der Beichtvater entgegnet, dass Petrus durch die Schlüsselgewalt und den Hirtenauftrag Christi mit einer Vorrangstellung in der Kirchenleitung betraut worden sei. Während Bucer erneut hervorhebt, dass die Apostel lediglich Diener des Evangeliums waren, verteidigt der Beichtvater die Vollmacht des apostolischen Statthalteramts auch für das Gewissen."	"Niclaus Christen, Martin Bucer (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Disput über Petrus als Haupt der Kirche."	"Sänger von Zoffingen; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"4"
"7"	"1"	"41"	"47"	"7"	"Haller und der Beichtvater über das Amt Petri"	"Berchtold Haller legt dar, dass Petrus und die Apostel lediglich Diener des Wortes und Verwalter der göttlichen Geheimnisse waren, Christus allein aber das wahre Haupt der Kirche ist. Er deutet die Schlüsselgewalt sowie das Binden und Lösen als Predigtamt des Evangeliums, welches allen Aposteln gleichermassen übertragen worden sei. Der Beichtvater verteidigt dagegen die Leitungsfunktion des Petrus und vergleicht dessen Stellung mit der eines Herzogs, der gegenüber dem König Untertan, gegenüber seinen Untergebenen aber ein Haupt ist."	"Johannes Eck, Niclaus Christen, Berchtold Haller (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Haller und der Beichtvater über das Amt Petri."	"Katholischer Theologe; Sänger von Zoffingen; Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"7"
"8"	"1"	"48"	"57"	"10"	"Disput über die Schlüsselgewalt und das Kirchenhaupt"	"Nach dem Abschluss des Streitgesprächs zwischen Martin Bucer und dem Beichtvater verteidigt Theobald Huter, Pfarrer zu Appenzell, die priesterliche Schlüsselgewalt zum Binden und Lösen nach Matthäus 16. Berchtold Haller hält dagegen, dass Christus allein das Haupt der Kirche sei und die Schlüsselgewalt allen Aposteln lediglich als Dienern zur Verkündigung der Sündenvergebung übertragen worden sei. Während der Pfarrer von Appenzell auf einer echten geistlichen Vollmacht beharrt, bekräftigt Haller, dass allein Gott Sünden vergebe und die Exkommunikation der ganzen Gemeinde zustehe."	"Niclaus Christen, Berchtold Haller, Martin Bucer (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Disput über die Schlüsselgewalt und das Kirchenhaupt."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"10"
"9"	"1"	"58"	"62"	"5"	"Debatte über den Bann und die kirchliche Vollmacht"	"Der Pfarrer von Appenzell und Berchtold Haller streiten über die Natur des kirchlichen Bannes und wem die Vollmacht zu dessen Verhängung zusteht. Haller betont, dass der Bann als göttlicher Befehl der einzelnen Ortsgemeinde gegen unbußfertige Sünder zukomme und bisher von der Kirchenhierarchie für weltliche Zwecke missbraucht worden sei. Ulrich Zwingli schaltet sich ein und legt dar, dass der Bann nach biblischer Ordnung erst nach stufenweiser Ermahnung allein durch die ganze Gemeinde verhängt werden darf."	"Niclaus Christen, Berchtold Haller, Ulrich Zwingli (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über den Bann und die kirchliche Vollmacht."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 5 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"5"
"10"	"1"	"63"	"69"	"7"	"Debatte über Kirchenautorität mit Konrad Treiger"	"Nach dem Abschluss der Diskussion über den Bann gegen den Pfarrer von Appenzell ordnet die Berner Obrigkeit den Ablauf der Disputation neu. Der Augustinerprovinzial Konrad Treiger tritt daraufhin auf und verteidigt die Kirche als höchste richterliche Instanz in Glaubensfragen. Wolfgang Capito widerspricht Treigers Auffassung und bestimmt die Kirche als geistliche Gemeinschaft unter Christus, worauf Treiger erneut entgegnet."	"Konrad Treiger, Niclaus Christen, Wolfgang Capito (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über Kirchenautorität mit Konrad Treiger."	"Augustinerprovinzial; Sänger von Zoffingen; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"7"
